,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains,substrates,products
16,b0954,P0A6Q3,3HAD100;3HAD120;3HAD121;3HAD140;3HAD141;3HAD160;3HAD161;3HAD180;3HAD181;3HAD40;3HAD60;3HAD80;T2DECAI,4keh,3.10.129.10.10.1.10.1.1.165;3.10.129.10.10.1.10.1.2.166,4kehB00;4kehA00,3hdecACP_c;tdec2eACP_c;3hcpalm9eACP_c;3hhexACP_c;3hmrsACP_c;3hcmrs7eACP_c;3hcvac11eACP_c;3hoctACP_c;cdec3eACP_c;3hoctaACP_c;3hddecACP_c;3haACP_c;3hcddec5eACP_c;3hpalmACP_c,tddec2eACP_c;tdec2eACP_c;toct2eACP_c;t3c9palmeACP_c;tmrs2eACP_c;t3c7mrseACP_c;t3c11vaceACP_c;h2o_c;t3c5ddeceACP_c;cdec3eACP_c;toctd2eACP_c;tpalm2eACP_c;thex2eACP_c;but2eACP_c
17,b0180,P0A6Q6,3HAD100;3HAD120;3HAD121;3HAD140;3HAD141;3HAD160;3HAD161;3HAD180;3HAD181;3HAD40;3HAD60;3HAD80;OGMEACPD;OPMEACPD,,,,3hdecACP_c;3hcpalm9eACP_c;3hhexACP_c;3hmrsACP_c;3hcmrs7eACP_c;3hcvac11eACP_c;hpmeACP_c;3hoctACP_c;hgmeACP_c;3hoctaACP_c;3hddecACP_c;3haACP_c;3hcddec5eACP_c;3hpalmACP_c,tddec2eACP_c;tdec2eACP_c;toct2eACP_c;epmeACP_c;t3c9palmeACP_c;tmrs2eACP_c;t3c7mrseACP_c;t3c11vaceACP_c;h2o_c;t3c5ddeceACP_c;egmeACP_c;toctd2eACP_c;tpalm2eACP_c;thex2eACP_c;but2eACP_c
18,b0597,P0A8Y8,3HBZCT,4k4c,3.10.129.10.3.4.1.1.1.137;3.10.129.10.3.4.1.1.2.137;3.10.129.10.3.4.1.1.3.137;3.10.129.10.3.4.1.1.4.137,4k4cA00;4k4cB00;4k4cC00;4k4cD00,h2o_c;3hbzcoa_c,coa_c;3hbz_c
19,b0347,P77397,3HCINNMH;3HPPPNH,,,,o2_c;3hcinnm_c;nadh_c;h_c;3hpppn_c,h2o_c;nad_c;dhcinnm_c;dhpppn_c
20,b1300,P23883,3HPADHi;GGGABADr,,,,nadph_c;nad_c;nadp_c;ggbutal_c;h2o_c;h_c;gg4abut_c;3hppnl_c,nadph_c;nadp_c;nadh_c;ggbutal_c;h2o_c;h_c;3hpp_c;gg4abut_c
21,b3580,P37677,3KGK;XYLK2,,,,atp_c;xylu__L_c;3dhguln_c,3dhgulnp_c;h_c;adp_c;xu5p__L_c
22,b0383,P00634,3NTD2pp;3NTD4pp;3NTD4pp;3NTD7pp;3NTD9pp;ACP1p;G1PPpp;G2PPpp;NTD2pp;NTD4pp;NTD7pp;NTD9pp;PPTHpp;PSP_Lpp;PTHRpp;R5PPpp,3bdf,3.40.720.10.6.1.1.2.1.432;3.40.720.10.6.1.1.2.2.434,3bdfB00;3bdfA00,glyc2p_p;3cmp_p;ump_p;3ump_p;g1p_p;pser__L_p;thrp_p;r5p_p;3gmp_p;amp_p;3amp_p;gmp_p;cmp_p;ppt_p;fmn_p;h2o_p,uri_p;ribflv_p;glyc_p;h2_p;thr__L_p;gsn_p;pi_p;adn_p;ser__L_p;rib__D_p;cytd_p;glc__D_p
23,b1093,P0AEK2,3OAR100;3OAR120;3OAR121;3OAR140;3OAR141;3OAR160;3OAR161;3OAR180;3OAR181;3OAR40;3OAR60;3OAR80;OGMEACPR;OPMEACPR,1q7b,3.40.50.720.142.1.5.1.1.241;3.40.50.720.142.1.5.1.2.243;3.40.50.720.142.1.5.1.3.243;3.40.50.720.142.1.5.1.4.243,1q7bB00;1q7bA00;1q7bC00;1q7bD00,nadp_c;3omrsACP_c;3ooctACP_c;3hoctACP_c;ogmeACP_c;3hoctaACP_c;3hmrsACP_c;3ocmrs7eACP_c;3hddecACP_c;3hpalmACP_c;3haACP_c;opmeACP_c;3ocddec5eACP_c;3hdecACP_c;3odecACP_c;3hhexACP_c;3ohexACP_c;h_c;3ocvac11eACP_c;3ooctdACP_c;3opalmACP_c;nadph_c;3oddecACP_c;3ocpalm9eACP_c;actACP_c,nadp_c;3omrsACP_c;3ooctACP_c;3hcmrs7eACP_c;hpmeACP_c;3hoctACP_c;3hoctaACP_c;3hmrsACP_c;3hddecACP_c;3hpalmACP_c;3haACP_c;3hdecACP_c;3odecACP_c;3hhexACP_c;3hcvac11eACP_c;3ohexACP_c;h_c;3ooctdACP_c;3opalmACP_c;nadph_c;3hcpalm9eACP_c;3oddecACP_c;hgmeACP_c;actACP_c;3hcddec5eACP_c
24,b2323,P0A953,3OAS100;3OAS120;3OAS121;3OAS140;3OAS141;3OAS160;3OAS161;3OAS180;3OAS60;3OAS80;KAS14;MACPD;OPMEACPS,2vba,3.40.47.10.11.2.1.1.1.254;3.40.47.10.11.2.1.1.2.254;3.40.47.10.11.2.1.1.3.254;3.40.47.10.11.2.1.1.4.254;3.40.47.10.20.2.1.1.1.147;3.40.47.10.20.2.1.1.2.145;3.40.47.10.20.2.1.1.3.145;3.40.47.10.20.2.1.1.4.145,2vbaA01;2vbaB01;2vbaC01;2vbaD01;2vbaC02;2vbaA02;2vbaB02;2vbaD02,butACP_c;tdeACP_c;ocACP_c;hexACP_c;ddcaACP_c;dcaACP_c;palmACP_c;cdec3eACP_c;h_c;acACP_c;gmeACP_c;cddec5eACP_c;malACP_c;myrsACP_c,co2_c;3ocddec5eACP_c;actACP_c;3odecACP_c;3omrsACP_c;3ooctACP_c;3oddecACP_c;ACP_c;3ohexACP_c;3ocpalm9eACP_c;acACP_c;3ocmrs7eACP_c;3ooctdACP_c;3opalmACP_c;opmeACP_c
25,b1095,P0AAI5,3OAS100;3OAS120;3OAS140;3OAS160;3OAS180;3OAS181;3OAS60;3OAS80;KAS14,3ho9,3.40.47.10.12.4.3.1.1.254;3.40.47.10.32.5.2.1.1.153,3ho9A01;3ho9A02,hdeACP_c;butACP_c;ocACP_c;hexACP_c;ddcaACP_c;dcaACP_c;palmACP_c;h_c;acACP_c;malACP_c;myrsACP_c,co2_c;3omrsACP_c;3odecACP_c;3ooctACP_c;3oddecACP_c;ACP_c;3ohexACP_c;actACP_c;3ocvac11eACP_c;3ooctdACP_c;3opalmACP_c
26,b1397,P0C7L2,3OXCOAT,,,,coa_c;oxadpcoa_c,accoa_c;succoa_c
27,b3882,P0A9V8,3SLAR;GHBDHx,,,,nad_c;ghb_c;nadh_c;h_c;sucsal_c;sla_c,nad_c;ghb_c;dhps_c;nadh_c;h_c;sucsal_c
28,b1386,P46883,42A12BOOXpp;PEAMNOpp;TYROXDApp,1oac,2.70.98.20.5.1.1.1.1.409;2.70.98.20.5.1.1.2.1.409;3.10.450.40.9.1.1.1.1.106;3.10.450.40.9.1.1.1.2.106;3.10.450.40.10.1.1.1.1.101;3.10.450.40.10.1.1.1.2.101;3.30.457.10.1.1.1.1.6.80;3.30.457.10.1.1.1.1.7.80,1oacA03;1oacB03;1oacA04;1oacB04;1oacA02;1oacB02;1oacA01;1oacB01,tym_p;dopa_p;o2_p;peamn_p;h2o_p,4hoxpacd_p;h2o2_p;pacald_p;34dhpac_p;nh4_p
29,b1337;b1338,P76052;P77357,4ABZGLUH,,,,4abz_c;glu__L_c;h2o_c;4abzglu_c,4abz_c;glu__L_c;h2o_c;4abzglu_c
30,b0870,P75823,4HTHRA;ALATA_D2;ALATA_L2;THRA;THRA2,3wlx,3.40.640.10.44.2.1.6.1.244;3.40.640.10.44.2.1.6.2.244;3.90.1150.10.157.2.1.2.1.88;3.90.1150.10.157.2.1.2.2.87,3wlxA01;3wlxB01;3wlxB02;3wlxA02,pydx5p_c;ala__L_c;athr__L_c;4hthr_c;ala__D_c;gcald_c;thr__L_c;gly_c,4hthr_c;pyam5p_c;gcald_c;pyr_c;gly_c;acald_c
31,b0003,P00547,4HTHRK;HSK,,,,hom__L_c;atp_c;4hthr_c,phthr_c;phom_c;h_c;adp_c
32,b1192,P76008,4PCP;AGM4PCP;AM4PCP;UM4PCP,,,,anhm4p_c;anhgm4p_c;h2o_c;um4p_c;LalaDgluMdapDala_c,LalaDgluMdap_c;ugmd_c;ala__D_c;anhm3p_c;anhgm3p_c
33,b2175,P0AFV4,4PCPpp;AGM4PCPpp;MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp,,,,LalaDgluMdapDala_p;murein4px4p_p;anhgm4p_p;murein4px4px4p_p;murein3px4p_p;h2o_p;murein5px4p_p,murein4px4p4p_p;murein4p4p_p;anhgm3p_p;LalaDgluMdap_p;murein5p4p_p;ala__D_p;murein4p3p_p
34,b4266,P0A9P9,5DGLCNR;5DKGR,,,,nadph_c;nad_c;glcn_c;nadh_c;h_c;5dglcn_c,nadp_c;nad_c;glcn_c;nadh_c;h_c;5dglcn_c
35,b2842,P37769,5DKGR,,,,nad_c;glcn_c;nadh_c;h_c;5dglcn_c,nad_c;glcn_c;nadh_c;h_c;5dglcn_c
36,b0159,P0AF12,5DOAN;AHCYSNS;MTAN,3o4v,3.40.50.1580.5.2.2.2.1.234;3.40.50.1580.5.2.2.2.2.232,3o4vA00;3o4vB00,5mta_c;h2o_c;ahcys_c;dad_5_c,5drib_c;ade_c;rhcys_c;5mtr_c
37,b3883,P32143,6D6SFK,,,,atp_c;sf_c,h_c;adp_c;sfp_c
38,b3881,P32141,6D6SPA,,,,sfp_c,dhap_c;sla_c
39,b3197,P45395,A5PISO,,,,ru5p__D_c;ara5p_c,ru5p__D_c;ara5p_c
40,b2708,P17115,A5PISO,,,,ru5p__D_c;ara5p_c,ru5p__D_c;ara5p_c
41,b1094;b2836,P0A6A8;P31119,AACPS1;AACPS2;AACPS3;AACPS4;AACPS5;AACPS6;AACPS7;AACPS8;AACPS9,,,,ttdcea_c;dca_c;ocdca_c;hdca_c;ocdcea_c;atp_c;ACP_c;hdcea_c;octa_c;ttdca_c;ddca_c,hdeACP_c;tdeACP_c;ocACP_c;octeACP_c;ppi_c;ddcaACP_c;palmACP_c;amp_c;ocdcaACP_c;dcaACP_c;myrsACP_c
42,b4481,P56258,AADDGT,,,,unagamu_c;dtdp4aaddg_c,h_c;unagamuf_c;dtdp_c
43,b1927,P26612,AAMYL,,,,14glucan_c,malthx_c
44,b3571,P25718,AAMYLpp,,,,14glucan_p,malthx_p
45,b2901,Q46829,AB6PGH,2xhy,3.20.20.80.138.4.1.1.1.464;3.20.20.80.138.4.1.1.2.466;3.20.20.80.138.4.1.1.3.468;3.20.20.80.138.4.1.1.4.470,2xhyD00;2xhyC00;2xhyB00;2xhyA00,arbt6p_c;h2o_c,hqn_c;g6p_c
46,b3721,P11988,AB6PGH;BGLA1,,,,arbt6p_c;h2o_c;6pgg_c,glc__D_c;hqn_c;g6p_c
47,b2716,P24240,AB6PGH;BGLA1,,,,arbt6p_c;h2o_c;6pgg_c,glc__D_c;hqn_c;g6p_c
48,b2662,P22256,ABTA;ACOTA;SDPTA,1sff,3.40.640.10.50.2.1.1.1.260;3.40.640.10.50.2.1.1.2.260;3.40.640.10.50.2.1.1.3.260;3.40.640.10.50.2.1.1.4.260;3.90.1150.10.114.1.1.1.1.165;3.90.1150.10.114.1.1.1.2.165;3.90.1150.10.114.1.1.1.3.165;3.90.1150.10.114.1.1.1.4.165,1sffA02;1sffB02;1sffC02;1sffD02;1sffA01;1sffB01;1sffC01;1sffD01,glu__L_c;4abut_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sl2a6o_c,glu__L_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sucsal_c;sl2a6o_c
49,b1302,P50457,ABTA;ACOTA;SDPTA,,,,glu__L_c;4abut_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sl2a6o_c,glu__L_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sucsal_c;sl2a6o_c
50,b1444,P77674,ABUTD,1wnd,3.40.309.10.23.2.1.1.1.191;3.40.309.10.23.2.1.1.2.191;3.40.309.10.23.2.1.1.3.191;3.40.309.10.23.2.1.1.4.191;3.40.605.10.23.1.1.1.1.283;3.40.605.10.23.1.1.1.2.283;3.40.605.10.23.1.1.1.3.283;3.40.605.10.23.1.1.1.4.283,1wndA02;1wndB02;1wndC02;1wndD02;1wndA01;1wndB01;1wndC01;1wndD01,h2o_c;nad_c;4abutn_c,h_c;4abut_c;nadh_c
51,b2221;b2222,P76458;P76459,ACACCT;BUTCT;HXCT,1k6d;5dbn,3.40.1080.10.1.2.1.1.1.219;3.40.1080.10.1.2.1.1.2.217;3.40.1080.10.1.2.1.1.3.215;3.40.1080.10.1.2.1.1.4.215;3.40.1080.10.1.2.1.1.5.215;3.40.1080.10.1.2.1.1.6.213;3.40.1080.10.2.3.1.1.1.214;3.40.1080.10.2.3.1.1.2.214;3.40.1080.10.2.3.1.1.3.213;3.40.1080.10.2.3.1.1.4.212,1k6dB00;1k6dA00;5dbnA00;5dbnC00;5dbnG00;5dbnE00;5dbnF00;5dbnH00;5dbnB00;5dbnD00,accoa_c;acac_c;but_c;hxa_c,ac_c;aacoa_c;hxcoa_c;btcoa_c
52,b1694,P37766,ACACCT,2ahw,3.40.1080.10.3.1.1.5.5.214;3.40.1080.10.3.1.1.5.6.239;3.40.1080.10.3.1.1.5.7.239;3.40.1080.10.3.1.1.5.8.239;3.40.1080.10.6.1.1.5.5.273;3.40.1080.10.6.1.1.5.6.273;3.40.1080.10.6.1.1.5.7.273;3.40.1080.10.6.1.1.5.8.273,2ahwD02;2ahwA02;2ahwB02;2ahwC02;2ahwA01;2ahwB01;2ahwC01;2ahwD01,accoa_c;acac_c,ac_c;aacoa_c
53,b2224,P76461,ACACT1r,5f38,3.40.47.10.1.6.1.5.1.205;3.40.47.10.1.6.1.6.1.202;3.40.47.10.1.6.1.7.1.202;3.40.47.10.1.6.1.9.1.190;3.40.47.10.15.1.5.1.5.156;3.40.47.10.15.1.5.1.6.156;3.40.47.10.15.1.5.1.7.156;3.40.47.10.15.1.5.1.8.152,5f38D01;5f38B01;5f38C01;5f38A01;5f38B02;5f38C02;5f38D02;5f38A02,accoa_c;aacoa_c;coa_c,accoa_c;aacoa_c;coa_c
54,b2342,P76503,ACACT1r;ACACT2r;ACACT3r;ACACT4r;ACACT5r;ACACT6r;ACACT7r;ACACT8r,,,,3ohcoa_c;occoa_c;3ohdcoa_c;coa_c;3odcoa_c;3oddcoa_c;3otdcoa_c;3oocoa_c;tdcoa_c;dcacoa_c;hxcoa_c;pmtcoa_c;btcoa_c;accoa_c;aacoa_c;ddcacoa_c;3ohodcoa_c,3ohcoa_c;occoa_c;3ohdcoa_c;coa_c;3odcoa_c;3oddcoa_c;3otdcoa_c;3oocoa_c;tdcoa_c;dcacoa_c;hxcoa_c;pmtcoa_c;btcoa_c;accoa_c;aacoa_c;ddcacoa_c;3ohodcoa_c
55,b3845,P21151,ACACT1r;ACACT2r;ACACT3r;ACACT4r;ACACT5r;ACACT6r;ACACT7r;ACACT8r,,,,3ohcoa_c;occoa_c;3ohdcoa_c;coa_c;3odcoa_c;3oddcoa_c;3otdcoa_c;3oocoa_c;tdcoa_c;dcacoa_c;hxcoa_c;pmtcoa_c;btcoa_c;accoa_c;aacoa_c;ddcacoa_c;3ohodcoa_c,3ohcoa_c;occoa_c;3ohdcoa_c;coa_c;3odcoa_c;3oddcoa_c;3otdcoa_c;3oocoa_c;tdcoa_c;dcacoa_c;hxcoa_c;pmtcoa_c;btcoa_c;accoa_c;aacoa_c;ddcacoa_c;3ohodcoa_c
56,b0351,P77580,ACALD,,,,nad_c;coa_c;nadh_c;h_c;accoa_c;acald_c,nad_c;coa_c;nadh_c;h_c;accoa_c;acald_c
57,b1241,P0A9Q7,ACALD;ALCD19;ALCD2x,,,,nad_c;coa_c;nadh_c;glyc_c;etoh_c;glyald_c;h_c;accoa_c;acald_c,nad_c;coa_c;nadh_c;glyc_c;etoh_c;glyald_c;h_c;accoa_c;acald_c
58,b1463,P77567,ACANTHAT,,,,accoa_c;anth_c,coa_c;acanth_c
59,b1993,P0AE76,ACBIPGT;ADOCBIK,,,,adocbi_c;atp_c;gtp_c;h_c;adocbip_c,ppi_c;h_c;adp_c;adocbip_c;agdpcbi_c
60,b0185;b2316;b3255;b3256,P0ABD5;P0A9Q5;P0ABD8;P24182,ACCOAC,,,,accoa_c;atp_c;hco3_c,malcoa_c;h_c;adp_c;pi_c
61,b4069,P27550,ACCOAL;ACS,,,,coa_c;atp_c;ppa_c;ac_c,pi_c;ppi_c;ppcoa_c;amp_c;accoa_c;adp_c
62,b0335,P77495,ACCOAL,,,,coa_c;atp_c;ppa_c,pi_c;adp_c;ppcoa_c
63,b1119,P75959,ACGAMK,,,,acgam_c;atp_c,h_c;adp_c;acgam6p_c
64,b3784,P0AC78,ACGAMT,,,,udcpp_c;uacgam_c,ump_c;unaga_c
65,b3959,P0A6C8,ACGK,1gs5,3.40.1160.10.2.1.1.1.1.258,1gs5A00,atp_c;acglu_c,acg5p_c;adp_c
66,b2818,P0A6C5,ACGS,,,,accoa_c;glu__L_c,coa_c;h_c;acglu_c
67,b3670;b3671,P0ADF8;P08142,ACHBS;ACLS,,,,2obut_c;h_c;pyr_c,co2_c;alac__S_c;2ahbut_c
68,b0077;b0078,P00893;P00894,ACHBS;ACLS,,,,2obut_c;h_c;pyr_c,co2_c;alac__S_c;2ahbut_c
69,b2296,P0A6A3,ACKr,,,,ac_c;atp_c;adp_c;actp_c,ac_c;atp_c;adp_c;actp_c
70,b1849,P33221,ACKr;GART,1eyz,3.30.470.20.1.1.1.1.9.195;3.30.470.20.1.1.1.1.10.195;3.30.1490.20.1.1.1.1.11.72;3.30.1490.20.1.1.1.1.12.72;3.40.50.20.2.1.1.1.9.121;3.40.50.20.2.1.1.1.10.121,1eyzA03;1eyzB03;1eyzA02;1eyzB02;1eyzA01;1eyzB01,gar_c;atp_c;ac_c;for_c;adp_c;actp_c,atp_c;fgam_c;pi_c;ac_c;h_c;adp_c;actp_c
71,b3115,P11868,ACKr;PPAKr,,,,ppa_c;atp_c;ac_c;ppap_c;adp_c;actp_c,ppa_c;atp_c;ac_c;ppap_c;adp_c;actp_c
72,b2428,P76535,ACM6PH,,,,h2o_c;acmum6p_c,lac__D_c;acgam6p_c
73,b3794,P27836,ACMAMUT,,,,unaga_c;uacmamu_c,unagamu_c;udp_c;h_c
74,b3225,P0A6L4,ACNML,3lbm,3.20.20.70.26.1.1.1.1.294;3.20.20.70.26.1.1.1.2.295;3.20.20.70.26.1.1.1.3.295;3.20.20.70.26.1.1.1.4.295,3lbmC00;3lbmA00;3lbmB00;3lbmD00,acnam_c,acmana_c;pyr_c
75,b0221,Q47146,ACOAD1f;ACOAD2f;ACOAD3f;ACOAD4f;ACOAD5f;ACOAD6f;ACOAD7f;ACOAD8f,,,,dc2coa_c;occoa_c;hx2coa_c;dd2coa_c;fadh2_c;hdd2coa_c;od2coa_c;fad_c;dcacoa_c;hxcoa_c;oc2coa_c;pmtcoa_c;btcoa_c;td2coa_c;stcoa_c;tdcoa_c;ddcacoa_c,dc2coa_c;occoa_c;hx2coa_c;dd2coa_c;fadh2_c;hdd2coa_c;od2coa_c;fad_c;dcacoa_c;hxcoa_c;oc2coa_c;pmtcoa_c;stcoa_c;td2coa_c;tdcoa_c;b2coa_c;ddcacoa_c
76,b1695,P0A9U8,ACOAD1fr,,,,b2coa_c;fadh2_c,fad_c;btcoa_c
77,b1091;b1094,P0A6R0;P0A6A8,ACOATA,1hnj;1l0i,3.40.47.10.13.1.1.1.1.171;3.40.47.10.34.1.1.1.1.146;1.10.1200.10.2.1.1.2.1.77,1hnjA01;1hnjA02;1l0iA00,accoa_c;coa_c;acACP_c;ACP_c,accoa_c;coa_c;acACP_c;ACP_c
78,b3957,P23908,ACODA,,,,h2o_c;acorn_c,ac_c;orn_c
79,s0001,None,ACONIs;AOBUTDs;ATPHs;CBMD;DATPHs;DHGLYH;DHPTDCs2;FALGTHLs;FESD1s;FESD2s;G5SADs;GTPHs;METOX1s;METOX2s;MTHTHFSs;NADHHR;NADHHS;NADPHHR;NADPHHS;OMCDC,,,,4fe4s_c;acon_T_c;atp_c;glu5sa_c;gthrd_c;3c4mop_c;dhptd_c;met__L_c;h2o2_c;acon_C_c;2aobut_c;fald_c;mdhdhf_c;h_c;cbm_c;nadph_c;nadh_c;no_c;gtp_c;dhgly_c;h2o_c;hmgth_c;datp_c,3fe4s_c;acon_T_c;nadhx__R_c;glx_c;nh4_c;gthrd_c;nadphx__S_c;n2o_c;nadhx__S_c;nadphx__R_c;co2_c;xtp_c;metsox_S__L_c;acon_C_c;fald_c;mdhdhf_c;4mop_c;1pyr5c_c;aact_c;itp_c;fe3_c;mththf_c;h_c;metsox_R__L_c;h2o_c;ditp_c;hmgth_c
80,b1519,P76145,ACONMT,,,,acon_T_c;amet_c,aconm_c;ahcys_c
81,b0118,P36683,ACONTa;ACONTb;MICITDr,1l5j,1.25.40.310.1.1.1.1.1.161;1.25.40.310.1.1.1.1.2.161;3.20.19.10.3.1.1.1.1.200;3.20.19.10.3.1.1.1.2.200;3.30.499.10.5.1.1.1.1.180;3.30.499.10.5.1.1.1.2.180;3.30.499.10.7.1.1.1.1.128;3.30.499.10.7.1.1.1.2.128;3.40.1060.10.3.1.1.1.1.173;3.40.1060.10.3.1.1.1.2.173,1l5jA01;1l5jB01;1l5jA02;1l5jB02;1l5jA05;1l5jB05;1l5jA04;1l5jB04;1l5jA03;1l5jB03,cit_c;micit_c;h2o_c;icit_c;acon_C_c;2mcacn_c,cit_c;micit_c;h2o_c;icit_c;acon_C_c;2mcacn_c
82,b1276,P25516,ACONTa;ACONTb,,,,icit_c;cit_c;acon_C_c;h2o_c,icit_c;cit_c;acon_C_c;h2o_c
83,b1748,P77581,ACOTA;SDPTA;SOTA,4adb,3.40.640.10.6.1.2.1.1.246;3.40.640.10.6.1.2.1.2.246;3.40.640.10.6.1.2.1.3.246;3.40.640.10.6.1.2.1.4.246;3.90.1150.10.2.2.1.1.1.153;3.90.1150.10.2.2.1.1.2.154;3.90.1150.10.2.2.1.1.3.154;3.90.1150.10.2.2.1.1.4.155,4adbA02;4adbB02;4adbC02;4adbD02;4adbC01;4adbA01;4adbD01;4adbB01,glu__L_c;sucorn_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sl2a6o_c,glu__L_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sl2a6o_c;sucgsa_c
