,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains
28,b1386,P46883,42A12BOOXpp;PEAMNOpp;TYROXDApp,1oac,2.70.98.20.5.1.1.1.1.409;2.70.98.20.5.1.1.2.1.409;3.10.450.40.9.1.1.1.1.106;3.10.450.40.9.1.1.1.2.106;3.10.450.40.10.1.1.1.1.101;3.10.450.40.10.1.1.1.2.101;3.30.457.10.1.1.1.1.6.80;3.30.457.10.1.1.1.1.7.80,1oacA03;1oacB03;1oacA04;1oacB04;1oacA02;1oacB02;1oacA01;1oacB01
29,b1337;b1338,P76052;P77357,4ABZGLUH,,,
30,b0870,P75823,4HTHRA;ALATA_D2;ALATA_L2;THRA;THRA2,3wlx,3.40.640.10.44.2.1.6.1.244;3.40.640.10.44.2.1.6.2.244;3.90.1150.10.157.2.1.2.1.88;3.90.1150.10.157.2.1.2.2.87,3wlxA01;3wlxB01;3wlxB02;3wlxA02
31,b0003,P00547,4HTHRK;HSK,,,
32,b1192,P76008,4PCP;AGM4PCP;AM4PCP;UM4PCP,,,
33,b2175,P0AFV4,4PCPpp;AGM4PCPpp;MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp,,,
34,b4266,P0A9P9,5DGLCNR;5DKGR,,,
35,b2842,P37769,5DKGR,,,
36,b0159,P0AF12,5DOAN;AHCYSNS;MTAN,3o4v,3.40.50.1580.5.2.2.2.1.234;3.40.50.1580.5.2.2.2.2.232,3o4vA00;3o4vB00
37,b3883,P32143,6D6SFK,,,
38,b3881,P32141,6D6SPA,,,
39,b3197,P45395,A5PISO,,,
40,b2708,P17115,A5PISO,,,
41,b1094;b2836,P0A6A8;P31119,AACPS1;AACPS2;AACPS3;AACPS4;AACPS5;AACPS6;AACPS7;AACPS8;AACPS9,,,
42,b4481,P56258,AADDGT,,,
43,b1927,P26612,AAMYL,,,
44,b3571,P25718,AAMYLpp,,,
45,b2901,Q46829,AB6PGH,2xhy,3.20.20.80.138.4.1.1.1.464;3.20.20.80.138.4.1.1.2.466;3.20.20.80.138.4.1.1.3.468;3.20.20.80.138.4.1.1.4.470,2xhyD00;2xhyC00;2xhyB00;2xhyA00
46,b3721,P11988,AB6PGH;BGLA1,,,
47,b2716,P24240,AB6PGH;BGLA1,,,
48,b2662,P22256,ABTA;ACOTA;SDPTA,1sff,3.40.640.10.50.2.1.1.1.260;3.40.640.10.50.2.1.1.2.260;3.40.640.10.50.2.1.1.3.260;3.40.640.10.50.2.1.1.4.260;3.90.1150.10.114.1.1.1.1.165;3.90.1150.10.114.1.1.1.2.165;3.90.1150.10.114.1.1.1.3.165;3.90.1150.10.114.1.1.1.4.165,1sffA02;1sffB02;1sffC02;1sffD02;1sffA01;1sffB01;1sffC01;1sffD01
49,b1302,P50457,ABTA;ACOTA;SDPTA,,,
50,b1444,P77674,ABUTD,1wnd,3.40.309.10.23.2.1.1.1.191;3.40.309.10.23.2.1.1.2.191;3.40.309.10.23.2.1.1.3.191;3.40.309.10.23.2.1.1.4.191;3.40.605.10.23.1.1.1.1.283;3.40.605.10.23.1.1.1.2.283;3.40.605.10.23.1.1.1.3.283;3.40.605.10.23.1.1.1.4.283,1wndA02;1wndB02;1wndC02;1wndD02;1wndA01;1wndB01;1wndC01;1wndD01
51,b2221;b2222,P76458;P76459,ACACCT;BUTCT;HXCT,1k6d;5dbn,3.40.1080.10.1.2.1.1.1.219;3.40.1080.10.1.2.1.1.2.217;3.40.1080.10.1.2.1.1.3.215;3.40.1080.10.1.2.1.1.4.215;3.40.1080.10.1.2.1.1.5.215;3.40.1080.10.1.2.1.1.6.213;3.40.1080.10.2.3.1.1.1.214;3.40.1080.10.2.3.1.1.2.214;3.40.1080.10.2.3.1.1.3.213;3.40.1080.10.2.3.1.1.4.212,1k6dB00;1k6dA00;5dbnA00;5dbnC00;5dbnG00;5dbnE00;5dbnF00;5dbnH00;5dbnB00;5dbnD00
52,b1694,P37766,ACACCT,2ahw,3.40.1080.10.3.1.1.5.5.214;3.40.1080.10.3.1.1.5.6.239;3.40.1080.10.3.1.1.5.7.239;3.40.1080.10.3.1.1.5.8.239;3.40.1080.10.6.1.1.5.5.273;3.40.1080.10.6.1.1.5.6.273;3.40.1080.10.6.1.1.5.7.273;3.40.1080.10.6.1.1.5.8.273,2ahwD02;2ahwA02;2ahwB02;2ahwC02;2ahwA01;2ahwB01;2ahwC01;2ahwD01
53,b2224,P76461,ACACT1r,5f38,3.40.47.10.1.6.1.5.1.205;3.40.47.10.1.6.1.6.1.202;3.40.47.10.1.6.1.7.1.202;3.40.47.10.1.6.1.9.1.190;3.40.47.10.15.1.5.1.5.156;3.40.47.10.15.1.5.1.6.156;3.40.47.10.15.1.5.1.7.156;3.40.47.10.15.1.5.1.8.152,5f38D01;5f38B01;5f38C01;5f38A01;5f38B02;5f38C02;5f38D02;5f38A02
54,b2342,P76503,ACACT1r;ACACT2r;ACACT3r;ACACT4r;ACACT5r;ACACT6r;ACACT7r;ACACT8r,,,
55,b3845,P21151,ACACT1r;ACACT2r;ACACT3r;ACACT4r;ACACT5r;ACACT6r;ACACT7r;ACACT8r,,,
56,b0351,P77580,ACALD,,,
57,b1241,P0A9Q7,ACALD;ALCD19;ALCD2x,,,
58,b1463,P77567,ACANTHAT,,,
59,b1993,P0AE76,ACBIPGT;ADOCBIK,,,
60,b0185;b2316;b3255;b3256,P0ABD5;P0A9Q5;P0ABD8;P24182,ACCOAC,,,
61,b4069,P27550,ACCOAL;ACS,,,
62,b0335,P77495,ACCOAL,,,
63,b1119,P75959,ACGAMK,,,
64,b3784,P0AC78,ACGAMT,,,
65,b3959,P0A6C8,ACGK,1gs5,3.40.1160.10.2.1.1.1.1.258,1gs5A00
66,b2818,P0A6C5,ACGS,,,
67,b3670;b3671,P0ADF8;P08142,ACHBS;ACLS,,,
68,b0077;b0078,P00893;P00894,ACHBS;ACLS,,,
69,b2296,P0A6A3,ACKr,,,
70,b1849,P33221,ACKr;GART,1eyz,3.30.470.20.1.1.1.1.9.195;3.30.470.20.1.1.1.1.10.195;3.30.1490.20.1.1.1.1.11.72;3.30.1490.20.1.1.1.1.12.72;3.40.50.20.2.1.1.1.9.121;3.40.50.20.2.1.1.1.10.121,1eyzA03;1eyzB03;1eyzA02;1eyzB02;1eyzA01;1eyzB01
71,b3115,P11868,ACKr;PPAKr,,,
72,b2428,P76535,ACM6PH,,,
73,b3794,P27836,ACMAMUT,,,
74,b3225,P0A6L4,ACNML,3lbm,3.20.20.70.26.1.1.1.1.294;3.20.20.70.26.1.1.1.2.295;3.20.20.70.26.1.1.1.3.295;3.20.20.70.26.1.1.1.4.295,3lbmC00;3lbmA00;3lbmB00;3lbmD00
75,b0221,Q47146,ACOAD1f;ACOAD2f;ACOAD3f;ACOAD4f;ACOAD5f;ACOAD6f;ACOAD7f;ACOAD8f,,,
76,b1695,P0A9U8,ACOAD1fr,,,
77,b1091;b1094,P0A6R0;P0A6A8,ACOATA,1hnj;1l0i,3.40.47.10.13.1.1.1.1.171;3.40.47.10.34.1.1.1.1.146;1.10.1200.10.2.1.1.2.1.77,1hnjA01;1hnjA02;1l0iA00
78,b3957,P23908,ACODA,,,
79,s0001,None,ACONIs;AOBUTDs;ATPHs;CBMD;DATPHs;DHGLYH;DHPTDCs2;FALGTHLs;FESD1s;FESD2s;G5SADs;GTPHs;METOX1s;METOX2s;MTHTHFSs;NADHHR;NADHHS;NADPHHR;NADPHHS;OMCDC,,,
80,b1519,P76145,ACONMT,,,
81,b0118,P36683,ACONTa;ACONTb;MICITDr,1l5j,1.25.40.310.1.1.1.1.1.161;1.25.40.310.1.1.1.1.2.161;3.20.19.10.3.1.1.1.1.200;3.20.19.10.3.1.1.1.2.200;3.30.499.10.5.1.1.1.1.180;3.30.499.10.5.1.1.1.2.180;3.30.499.10.7.1.1.1.1.128;3.30.499.10.7.1.1.1.2.128;3.40.1060.10.3.1.1.1.1.173;3.40.1060.10.3.1.1.1.2.173,1l5jA01;1l5jB01;1l5jA02;1l5jB02;1l5jA05;1l5jB05;1l5jA04;1l5jB04;1l5jA03;1l5jB03
82,b1276,P25516,ACONTa;ACONTb,,,
83,b1748,P77581,ACOTA;SDPTA;SOTA,4adb,3.40.640.10.6.1.2.1.1.246;3.40.640.10.6.1.2.1.2.246;3.40.640.10.6.1.2.1.3.246;3.40.640.10.6.1.2.1.4.246;3.90.1150.10.2.2.1.1.1.153;3.90.1150.10.2.2.1.1.2.154;3.90.1150.10.2.2.1.1.3.154;3.90.1150.10.2.2.1.1.4.155,4adbA02;4adbB02;4adbC02;4adbD02;4adbC01;4adbA01;4adbD01;4adbB01
84,b3359,P18335,ACOTA;SDPTA,,,
85,b2371,P76518,ACOXT,4hl6,3.30.1540.10.4.2.1.1.1.92;3.30.1540.10.4.2.1.1.2.92;3.30.1540.10.4.2.1.1.3.92;3.30.1540.10.4.2.1.1.4.92;3.30.1540.10.4.2.1.1.5.92;3.30.1540.10.4.2.1.1.6.92;3.40.50.10540.4.2.1.1.1.284;3.40.50.10540.4.2.1.1.2.283;3.40.50.10540.4.2.1.1.3.283;3.40.50.10540.4.2.1.1.4.283;3.40.50.10540.4.2.1.1.5.282;3.40.50.10540.4.2.1.1.6.282,4hl6A02;4hl6B02;4hl6C02;4hl6D02;4hl6E02;4hl6F02;4hl6B01;4hl6A01;4hl6C01;4hl6F01;4hl6D01;4hl6E01
86,b3812,P0ADP0,ACP1_FMN;PMDPHT,,,
87,b0844,P75809,ACP1_FMN;PMDPHT,,,
88,b1090;b1094,P27247;P0A6A8,ACPPAT120;ACPPAT140;ACPPAT141;ACPPAT160;ACPPAT161;ACPPAT180;ACPPAT181,,,
89,b2563,P24224,ACPS1,,,
90,b3475,P37623,ACPS1,,,
91,b1623,P22333,ADA;DADA,,,
92,b1096,P28305,ADCL;CHRPL,1i2k,3.20.10.10.11.1.1.1.1.145;3.30.470.10.10.2.1.1.1.108,1i2kA02;1i2kA01
93,b4039,P26602,ADCL;CHRPL,1tt8,3.40.1410.10.1.1.1.1.1.164,1tt8A00
94,b1812;b3360,P05041;P00903,ADCS,,,
95,b3665,P31441,ADD,,,
96,b0474,P69441,ADK1;ADK3;ADK4;ADNK1;DADK;NDPK1;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8,4x8l,3.40.50.300.25.2.1.2.1.214;3.40.50.300.25.2.1.2.2.214,4x8lA00;4x8lB00
97,b0120,P0A7F6,ADMDC,,,
98,b3806,P00936,ADNCYC,,,
99,b0030,P22564,ADNUC;CYTDH;INSH;URIH;XTSNH,,,
100,b1992,P36561,ADOCBLS,,,
101,b3397,P45799,ADPRDP,1vhz,3.90.79.10.57.1.1.1.1.178;3.90.79.10.57.1.1.1.2.179,1vhzA01;1vhzB01
102,b3034,Q93K97,ADPRDP,1g0s,3.90.79.10.60.1.1.1.1.201;3.90.79.10.60.1.1.1.2.202,1g0sA00;1g0sB00
103,b0469,P69503,ADPT,2dy0,3.40.50.2020.1.1.1.1.1.181;3.40.50.2020.1.1.1.1.2.182,2dy0B00;2dy0A00
104,b2750,P0A6J1,ADSK,,,
105,b1131,P0AB89,ADSL1r;ADSL2r,2ptr,1.10.40.30.1.1.1.1.1.64;1.10.40.30.1.1.1.1.3.59;1.10.275.10.4.1.1.2.1.117;1.10.275.10.4.1.1.2.2.117;1.20.200.10.4.1.1.1.1.278;1.20.200.10.4.1.1.1.2.275,2ptrB03;2ptrA03;2ptrA01;2ptrB01;2ptrA02;2ptrB02
106,b4177,P0A7D4,ADSS,1kjx,1.10.300.10.2.1.2.1.23.100;3.40.440.10.1.2.3.1.23.165;3.90.170.10.1.2.2.1.23.166,1kjxA02;1kjxA01;1kjxA03
107,b0677,P0AF18,AGDC,1yrr,2.30.40.10.31.1.1.1.1.92;2.30.40.10.31.1.1.1.2.90;3.20.20.140.61.1.1.1.1.289;3.20.20.140.61.1.1.3.1.244,1yrrA01;1yrrB01;1yrrA02;1yrrB02
108,b0110,P13016,AGM3PA;AGM4PA;AM3PA;AM4PA,,,
109,b4169,P26365,AGM3PApp;AGM4PApp,,,
110,b2435,P36548,AGM3PApp;AGM4PApp,,,
111,b2817,P63883,AGM3PApp;AGM4PApp,4bin,2.60.40.3500.1.1.1.1.1.116;3.40.630.40.1.2.1.1.1.222,4binA01;4binA02
112,b0867,P75820,AGM3PApp;AGM4PApp,3d2y,1.10.101.10.4.1.1.1.1.84;3.40.80.10.8.1.1.1.1.151,3d2yA02;3d2yA01
113,b1107,P75949,AGM3PH;AGM4PH;AGMH,,,
114,b3619,P67910,AGMHE,1eq2,3.40.50.720.102.1.1.1.1.202;3.40.50.720.102.1.1.2.1.202;3.40.50.720.102.1.1.3.1.202;3.40.50.720.102.1.1.4.1.202;3.40.50.720.102.1.1.5.1.202;3.40.50.720.102.1.1.6.1.202;3.40.50.720.102.1.1.7.1.202;3.40.50.720.102.1.1.8.1.202;3.40.50.720.102.1.1.9.1.202;3.40.50.720.102.1.1.10.1.202;3.90.25.10.19.1.1.1.1.101;3.90.25.10.19.1.1.1.2.101;3.90.25.10.19.1.1.1.3.101;3.90.25.10.19.1.1.1.4.101;3.90.25.10.19.1.1.1.5.94;3.90.25.10.19.1.1.1.6.94;3.90.25.10.19.1.1.1.7.94;3.90.25.10.19.1.1.1.8.91;3.90.25.10.19.1.1.1.39.70;3.90.25.10.19.1.1.1.40.66,1eq2A01;1eq2B01;1eq2C01;1eq2D01;1eq2E01;1eq2F01;1eq2G01;1eq2H01;1eq2I01;1eq2J01;1eq2D02;1eq2F02;1eq2G02;1eq2I02;1eq2B02;1eq2E02;1eq2J02;1eq2H02;1eq2A02;1eq2C02
115,b2937,P60651,AGMT,,,
116,b3018,P26647,AGPAT120;AGPAT140;AGPAT141;AGPAT160;AGPAT161;AGPAT180;AGPAT181,,,
117,b3958,P11446,AGPR,,,
118,b2913,P0A9T0,AHGDx;ARHGDx;PGCD,1yba,3.30.70.260.20.1.1.5.1.79;3.30.70.260.20.1.1.6.1.79;3.30.70.260.20.1.1.7.1.79;3.30.70.260.20.1.1.8.1.79;3.40.50.720.245.2.1.1.1.184;3.40.50.720.245.2.1.2.1.184;3.40.50.720.245.2.1.3.1.184;3.40.50.720.245.2.1.4.1.184;3.40.50.720.514.1.1.2.1.133;3.40.50.720.514.1.1.2.2.133;3.40.50.720.514.1.1.2.3.133;3.40.50.720.514.1.1.2.4.133,1ybaA03;1ybaB03;1ybaC03;1ybaD03;1ybaA02;1ybaB02;1ybaC02;1ybaD02;1ybaA01;1ybaB01;1ybaC01;1ybaD01
119,b1511,P77432,AI2K,,,
120,b4006,P15639,AICART;IMPC,,,
121,b0522,P09029,AIRC2,3eth,3.30.470.20.2.2.1.1.1.223;3.30.470.20.2.2.1.1.2.223;3.30.1490.20.10.1.1.1.1.62;3.30.1490.20.10.1.1.1.2.62;3.40.50.20.29.1.1.1.1.70;3.40.50.20.29.1.1.1.2.70,3ethA02;3ethB02;3ethA03;3ethB03;3ethA01;3ethB01
122,b0523,P0AG18,AIRC3,1qcz,3.40.50.7700.1.2.2.1.1.159,1qczA00
123,b0116;b0726;b0727,P0A9P0;P0AFG3;P0AFG6,AKGDH,,,
124,b1488,P77790,ALAALAD,,,
125,b0381,P0A6J8,ALAALAr,,,
126,b0092,P07862,ALAALAr,4c5c,3.30.470.20.7.1.1.1.1.149;3.30.470.20.7.1.1.1.2.149;3.30.1490.20.3.1.1.1.1.73;3.30.1490.20.3.1.1.1.2.73;3.40.50.20.12.1.1.1.1.84;3.40.50.20.12.1.1.1.2.84,4c5cA02;4c5cB02;4c5cA03;4c5cB03;4c5cA01;4c5cB01
127,b1325,P51981,ALAGLUE,1jpd,3.20.20.120.54.2.1.1.1.207;3.30.390.10.56.2.1.1.1.99,1jpdX02;1jpdX01
128,b1190,P29012,ALAR,,,
129,b4053,P0A6B4,ALAR,4wr3,2.40.37.10.2.3.1.1.1.149;2.40.37.10.2.3.1.1.2.149;2.40.37.10.2.3.1.1.3.150;2.40.37.10.2.3.1.1.4.151;3.20.20.10.7.2.1.1.1.208;3.20.20.10.7.2.1.1.2.208;3.20.20.10.7.2.1.1.3.208;3.20.20.10.7.2.1.1.4.208,4wr3C01;4wr3D01;4wr3B01;4wr3A01;4wr3A02;4wr3B02;4wr3C02;4wr3D02
130,b2551,P0A825,ALATA_D2;ALATA_L2;GHMT2r;THFAT;THRA;THRA2,1dfo,3.40.640.10.1.1.11.1.1.241;3.40.640.10.1.1.11.1.2.241;3.40.640.10.1.1.11.1.3.241;3.40.640.10.1.1.11.1.4.241;3.90.1150.10.6.3.3.1.1.137;3.90.1150.10.6.3.3.1.2.137;3.90.1150.10.6.3.3.1.3.137;3.90.1150.10.6.3.3.1.4.137,1dfoA01;1dfoB01;1dfoC01;1dfoD01;1dfoA02;1dfoB02;1dfoC02;1dfoD02
131,b2290,P0A959,ALATA_L,4cvq,3.40.640.10.90.1.1.1.1.242;3.40.640.10.90.1.1.1.2.242;3.90.1150.10.102.2.1.1.1.162;3.90.1150.10.102.2.1.1.2.162,4cvqA02;4cvqB02;4cvqA01;4cvqB01
132,b2379,P77434,ALATA_L,,,
133,b1478,P39451,ALCD19;ALCD2x,4gkv,3.40.50.720.389.3.1.1.1.138;3.40.50.720.389.3.1.1.2.138;3.40.50.720.389.3.1.1.3.138;3.40.50.720.389.3.1.1.4.138;3.90.180.10.10.2.2.1.1.198;3.90.180.10.10.2.2.1.2.198;3.90.180.10.10.2.2.1.3.198;3.90.180.10.10.2.2.1.4.198,4gkvA02;4gkvB02;4gkvC02;4gkvD02;4gkvA01;4gkvB01;4gkvC01;4gkvD01
134,b1385,P80668,ALDD19xr,,,
135,b3588,P37685,ALDD2y;ALDD3y,,,
136,b3003,P0AG84,ALDD2y,,,
137,b0493,P0AFP4,ALDD2y,,,
138,b4269,P27250,ALDD2y;ALDD3y,,,
139,b2690,P77475,ALKP;E4PP;F1PP;F6PP;GNP;PGMT;R5PP,,,
140,b4084,P32718,ALLK,3htv,3.30.420.40.37.1.1.1.1.162;3.30.420.40.98.1.1.1.1.108,3htvA02;3htvA01
141,b4090,P37351,ALLPI;RPI,2vvr,3.40.1400.10.1.3.1.2.1.147;3.40.1400.10.1.3.1.2.2.147;3.40.1400.10.1.3.1.2.3.147;3.40.1400.10.1.3.1.2.4.146;3.40.1400.10.1.3.1.2.5.146;3.40.1400.10.1.3.1.2.6.146,2vvrA00;2vvrC00;2vvrE00;2vvrB00;2vvrD00;2vvrF00
142,b0516,P77425,ALLTAMH2,4pxd,3.30.70.360.11.1.1.1.1.115;3.30.70.360.11.1.1.1.2.115;3.40.630.10.32.1.1.1.1.296;3.40.630.10.32.1.1.1.2.296,4pxdA02;4pxdB02;4pxdA01;4pxdB01
143,b0512,P77671,ALLTN,3.00e+74,,
144,b4085,P32719,ALLULPE,3ctl,3.20.20.70.194.1.1.1.1.219;3.20.20.70.194.1.1.1.2.219;3.20.20.70.194.1.1.1.3.219;3.20.20.70.194.1.1.1.4.219;3.20.20.70.194.1.1.1.5.219;3.20.20.70.194.1.1.1.6.219,3ctlA00;3ctlB00;3ctlC00;3ctlD00;3ctlE00;3ctlF00
145,b0657;b1677,P23930;P69776,ALPATE160pp;ALPATG160pp,,,
146,b3012,Q46857,ALR2;DKGLCNR1,1mzr,3.20.20.100.13.5.1.1.1.276;3.20.20.100.13.5.1.1.2.274,1mzrB00;1mzrA00
147,b0207,P30863,ALR2;DKGLCNR1,,,
148,b1781,P76234,ALR2,,,
149,b3001,Q46851,ALR2,3n6q,3.20.20.100.8.1.2.1.1.302;3.20.20.100.8.1.2.1.2.302;3.20.20.100.8.1.2.1.3.301;3.20.20.100.8.1.2.1.4.300;3.20.20.100.8.1.2.1.5.300;3.20.20.100.8.1.2.1.6.300;3.20.20.100.8.1.2.1.7.296;3.20.20.100.8.1.2.1.8.293,3n6qB01;3n6qD01;3n6qA01;3n6qC01;3n6qF01;3n6qG01;3n6qE01;3n6qH01
150,b1771,P77256,ALR2x,,,
151,b3945,P0A9S5,ALR4x;APPLDHr;GLYCDx;LALDO2x,,,
152,b3091,P42604,ALTRH,,,
153,b3416,P15977,AMALT1;AMALT2;AMALT3;AMALT4,4s3q,,
154,b3223,P0A761,AMANAPEr,,,
155,b3222,P45425,AMANK,2aa4,3.30.420.40.55.1.1.1.1.152;3.30.420.40.55.1.1.1.2.152;3.30.420.40.71.1.1.1.1.137;3.30.420.40.71.1.1.1.2.137,2aa4A02;2aa4B02;2aa4A01;2aa4B01
156,b0774,P12995,AMAOTr,1s0a,3.40.640.10.12.2.1.1.1.268;3.40.640.10.12.2.1.2.1.269;3.90.1150.10.62.1.1.1.1.158;3.90.1150.10.62.1.1.1.2.158,1s0aA02;1s0aB02;1s0aA01;1s0aB01
157,b3833,P0A887,AMMQLT8;OMBZLM,,,
158,b3994,P30136,AMPMS2,,,
159,b1982,P0AE12,AMPN,1t8s,3.30.1730.10.1.1.1.1.1.140;3.30.1730.10.1.1.1.2.1.140;3.30.1730.10.1.1.1.3.1.140;3.30.1730.10.1.1.1.4.1.140;3.30.1730.10.1.1.1.5.1.140;3.30.1730.10.1.1.1.6.1.140;3.40.50.1580.21.1.2.1.1.299;3.40.50.1580.21.1.2.2.1.299;3.40.50.1580.21.1.2.3.1.299;3.40.50.1580.21.1.2.4.1.299;3.40.50.1580.21.1.2.5.1.299;3.40.50.1580.21.1.2.6.1.300,1t8sA01;1t8sB01;1t8sC01;1t8sD01;1t8sE01;1t8sF01;1t8sA02;1t8sC02;1t8sD02;1t8sE02;1t8sF02;1t8sB02
160,b0932,P04825,AMPTASECG;AMPTASEPG,3b34,1.10.390.10.3.1.1.1.1.164;1.10.1740.60.2.1.1.1.1.85;1.25.50.10.1.1.1.1.1.325;2.60.40.1730.2.1.1.1.1.180;2.60.40.1840.1.1.1.1.1.102,3b34A03;3b34A02;3b34A05;3b34A01;3b34A04
